theta_id,scale,mass_min,mass_max,success,lo,hi,n,reach_failure,lifted,palm,contacts,hold,hash,wall_s,csv,time
10,1.0,0.40,3.00,0.8300,0.7445,0.8911,100,0.1000,0.9000,0.9400,4.110,419.1,cd73a5c4005e5cb0,68,results/bo/partB/probe_passes/probe_t10_s1.0_m0.4-3.0.csv,18:20:53
11,1.0,0.40,3.00,0.9300,0.8625,0.9657,100,0.0100,0.9600,0.7300,3.550,465.3,9d45c7092e266c12,47,results/bo/partB/probe_passes/probe_t11_s1.0_m0.4-3.0.csv,18:21:44
12,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9500,3.740,500.0,cbf10391799e8cf5,42,results/bo/partB/probe_passes/probe_t12_s1.0_m0.4-3.0.csv,18:22:30
13,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.290,500.0,20b98c59823f2fae,42,results/bo/partB/probe_passes/probe_t13_s1.0_m0.4-3.0.csv,18:23:16
14,1.0,0.40,3.00,0.6600,0.5628,0.7454,100,0.0900,0.7900,0.6300,4.170,343.4,830715d2fd0f3125,62,results/bo/partB/probe_passes/probe_t14_s1.0_m0.4-3.0.csv,18:24:22
15,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.960,500.0,093ca6339c33913e,42,results/bo/partB/probe_passes/probe_t15_s1.0_m0.4-3.0.csv,18:25:08
16,1.0,0.40,3.00,0.9600,0.9016,0.9843,100,0.0000,0.9900,0.8900,5.990,481.8,1651495df84a8a9c,42,results/bo/partB/probe_passes/probe_t16_s1.0_m0.4-3.0.csv,18:25:54
17,1.0,0.40,3.00,0.9800,0.9300,0.9945,100,0.0000,0.9900,0.9800,5.520,490.6,bb11eca632df2134,42,results/bo/partB/probe_passes/probe_t17_s1.0_m0.4-3.0.csv,18:26:40
18,1.0,0.40,3.00,0.9900,0.9455,0.9982,100,0.0000,1.0000,1.0000,5.960,495.4,c7a7ec0bcb5f519d,42,results/bo/partB/probe_passes/probe_t18_s1.0_m0.4-3.0.csv,18:27:26
19,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.260,500.0,272708e4a9a3d1dd,42,results/bo/partB/probe_passes/probe_t19_s1.0_m0.4-3.0.csv,18:28:12
0,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.780,500.0,7ef6fd2c9241ad75,42,results/bo/partB/probe_passes/probe_t00_s2.0_m0.4-3.0.csv,18:28:58
1,2.0,0.40,3.00,0.9900,0.9455,0.9982,100,0.0000,1.0000,1.0000,6.550,495.1,e77bcbbca583fe5a,47,results/bo/partB/probe_passes/probe_t01_s2.0_m0.4-3.0.csv,18:29:49
2,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9600,6.170,500.0,f2d326376378e60e,42,results/bo/partB/probe_passes/probe_t02_s2.0_m0.4-3.0.csv,18:30:35
3,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9400,5.930,500.0,2c187977835f16e1,42,results/bo/partB/probe_passes/probe_t03_s2.0_m0.4-3.0.csv,18:31:21
4,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9900,7.580,500.0,a693a76de627a32c,42,results/bo/partB/probe_passes/probe_t04_s2.0_m0.4-3.0.csv,18:32:07
5,2.0,0.40,3.00,0.7600,0.6677,0.8331,100,0.0400,0.9000,0.5900,3.410,389.3,4efe07c47aa15b84,52,results/bo/partB/probe_passes/probe_t05_s2.0_m0.4-3.0.csv,18:33:03
6,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,6.230,500.0,c1cc59830721cdcb,42,results/bo/partB/probe_passes/probe_t06_s2.0_m0.4-3.0.csv,18:33:49
7,2.0,0.40,3.00,0.9900,0.9455,0.9982,100,0.0000,1.0000,0.9300,4.350,495.3,41494e1b6edaa055,42,results/bo/partB/probe_passes/probe_t07_s2.0_m0.4-3.0.csv,18:34:35
8,2.0,0.40,3.00,0.9900,0.9455,0.9982,100,0.0000,1.0000,0.9900,4.730,496.1,cb5f322c5e883683,42,results/bo/partB/probe_passes/probe_t08_s2.0_m0.4-3.0.csv,18:35:21
9,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9700,6.090,500.0,ee44d902ca2e5763,42,results/bo/partB/probe_passes/probe_t09_s2.0_m0.4-3.0.csv,18:36:08
10,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.580,500.0,391539e3c9628ee1,47,results/bo/partB/probe_passes/probe_t10_s2.0_m0.4-3.0.csv,18:36:59
11,2.0,0.40,3.00,0.9300,0.8625,0.9657,100,0.0100,0.9800,0.6700,3.590,467.2,a960a54251fb7fee,47,results/bo/partB/probe_passes/probe_t11_s2.0_m0.4-3.0.csv,18:37:50
12,2.0,0.40,3.00,0.9900,0.9455,0.9982,100,0.0000,1.0000,0.9000,3.810,495.7,2af06e1f6e909dba,47,results/bo/partB/probe_passes/probe_t12_s2.0_m0.4-3.0.csv,18:38:41
13,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.070,500.0,1199bffc7c3ab355,42,results/bo/partB/probe_passes/probe_t13_s2.0_m0.4-3.0.csv,18:39:27
14,2.0,0.40,3.00,0.5700,0.4722,0.6627,100,0.1000,0.7700,0.5100,3.990,301.3,31f495854c1359ea,62,results/bo/partB/probe_passes/probe_t14_s2.0_m0.4-3.0.csv,18:40:33
15,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9600,6.030,500.0,0bb82f31a5830a94,42,results/bo/partB/probe_passes/probe_t15_s2.0_m0.4-3.0.csv,18:41:19
16,2.0,0.40,3.00,0.9300,0.8625,0.9657,100,0.0000,1.0000,0.7600,5.860,470.5,f20e32ea1065be01,47,results/bo/partB/probe_passes/probe_t16_s2.0_m0.4-3.0.csv,18:42:10
17,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.490,500.0,43587a6e6d1337f0,47,results/bo/partB/probe_passes/probe_t17_s2.0_m0.4-3.0.csv,18:43:01
18,2.0,0.40,3.00,0.8600,0.7786,0.9147,100,0.0500,0.9500,0.9900,5.380,445.0,e47e63a56b6d028a,57,results/bo/partB/probe_passes/probe_t18_s2.0_m0.4-3.0.csv,18:44:02
19,2.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9900,6.240,500.0,b818027870386a23,47,results/bo/partB/probe_passes/probe_t19_s2.0_m0.4-3.0.csv,18:44:53
